[2023-01-25T15:19:28.140] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:23:23.859] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:23:25.541] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:23:32.730] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:23:36.515] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:23:36.522] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:23:36.838] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:23:36.978] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:29:20.138] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:29:20.145] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:29:20.224] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:29:20.406] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:30:51.602] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:30:51.622] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:30:51.651] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:30:51.815] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:31:55.647] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:31:55.670] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:31:55.702] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:31:55.866] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:33:08.131] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:33:08.137] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
